# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	2230
#@/user_id	5b6267af-6f98-4b37-bfcd-c62aa7d6ebbc
a 	啊	c=5 d=4.64539 t=2230
ping mu liang du 	屏幕亮度	c=1 d=0.951229 t=2230
ping mu shang 	屏幕上	c=1 d=0.873716 t=2230
qi 	起	c=1 d=0.66365 t=2230
qi dong 	启动	c=6 d=3.59347 t=2230
qi dong qi 	启动器	c=1 d=0.980199 t=2230
qi dong shi 	启动时	c=2 d=1.60643 t=2230
qi ta 	其他	c=8 d=4.39827 t=2230
qian hou 	前后	c=1 d=0.995012 t=2230
qian tang 	前堂	c=1 d=0.970446 t=2230
qian tao 	嵌套	c=2 d=1.95071 t=2230
qian tao yi ge 	嵌套一个	c=1 d=0.955997 t=2230
qiang 	抢	c=1 d=0.88692 t=2230
qiang jie 	抢劫	c=1 d=0.860708 t=2230
qiang jing 	强劲	c=1 d=0.856415 t=2230
qiang zhi 	强制	c=0 d=0.0932394 t=2230
qiang zhi shan 	强制删	c=1 d=0.937067 t=2230
qie 	且	c=3 d=1.94361 t=2230
qin ai de 	亲爱的	c=1 d=0.965605 t=2230
qing chu 	清除	c=1 d=0.932394 t=2230
qu 	区	c=3 d=2.76423 t=2230
qu 	去	c=1 d=0.937067 t=2230
qu xiao 	取消	c=4 d=2.88761 t=2230
quan bu 	全部	c=2 d=1.73978 t=2230
quan ping 	全屏	c=1 d=0.985112 t=2230
que ren 	确认	c=1 d=0.951229 t=2230
que shi 	确实	c=1 d=0.965605 t=2230
ran hou 	然后	c=3 d=2.22731 t=2230
rang 	让	c=7 d=3.45098 t=2230
ren wei 	认为	c=1 d=0.932394 t=2230
ren wu 	任务	c=1 d=0.97531 t=2230
ri 	日	c=1 d=1 t=2230
ri chang 	日常	c=1 d=0.786628 t=2230
ri li 	日历	c=2 d=1.76942 t=2230
ri qi 	日期	c=4 d=3.30024 t=2230
rong yu 	冗余	c=1 d=0.767206 t=2230
ru guo 	如果	c=2 d=1.76535 t=2230
sa fen 	萨芬	c=0 d=0.0980199 t=2230
san 	三	c=1 d=0.99005 t=2230
san da 	三大	c=0 d=0.0980199 t=2230
san da sa fen 	三大萨芬	c=1 d=0.985112 t=2230
san jiao xing 	三角形	c=1 d=0.814647 t=2230
san miao hou 	三秒后	c=1 d=0.882497 t=2230
shan 	删	c=1 d=1.02563 t=2230
shan chu 	删除	c=2 d=1.92741 t=2230
shan chu diao 	删除掉	c=1 d=1 t=2230
shan diao 	删掉	c=1 d=0.932394 t=2230
shang 	上	c=5 d=3.76114 t=2230
shang chuan 	上传	c=1 d=1 t=2210
shang de 	上的	c=5 d=3.74398 t=2230
shang mian 	上面	c=2 d=1.64148 t=2230
shang qu 	上去	c=1 d=0.900325 t=2230
shang xia 	上下	c=2 d=1.46691 t=2230
she zhi 	设置	c=3 d=2.21419 t=2230
shen me 	什么	c=18 d=9.30225 t=2230
sheng cheng 	生成	c=5 d=4.17465 t=2230
sheng xiao 	生效	c=6 d=3.62236 t=2230
sheng yin 	声音	c=5 d=3.72362 t=2230
shi 	时	c=9 d=5.24314 t=2230
shi 	是	c=30 d=11.4953 t=2230
shi bai 	失败	c=3 d=2.60951 t=2230
shi bie 	识别	c=6 d=4.36443 t=2230
shi bie cheng 	识别成	c=1 d=0.995012 t=2230
shi hou 	时候	c=12 d=5.92723 t=2230
shi jian 	时间	c=2 d=1.6975 t=2230
shi jian zhou 	时间轴	c=4 d=3.46972 t=2230
shi jie 	世界	c=1 d=0.995012 t=2230
shi shi shang 	事实上	c=1 d=0.970446 t=2230
shi shi xing neng 	实时性能	c=2 d=1.97516 t=2230
shi wo 	是我	c=1 d=0.873716 t=2230
shi xian 	实现	c=8 d=4.2615 t=2230
shou hu 	守护	c=3 d=2.6162 t=2230
shu biao 	鼠标	c=1 d=0.985112 t=2230
shu ru 	输入	c=2 d=1.30918 t=2230
shu zhe 	数着	c=1 d=0.970446 t=2230
shu zhe 	竖着	c=1 d=0.970446 t=2230
shu zhi 	竖直	c=5 d=2.25832 t=2230
shu zi 	数字	c=1 d=0.88692 t=2230
shua xin 	刷新	c=1 d=0.923116 t=2230
shun xu 	顺序	c=3 d=2.60028 t=2230
shuo 	说	c=1 d=0.847894 t=2230
shuo de 	说的	c=1 d=0.856415 t=2230
shuo hua 	说话	c=2 d=1.29051 t=2230
shuo zhong wen 	说中文	c=1 d=0.980199 t=2230
si nan 	司南	c=1 d=0.995012 t=2230
sou suo kuang 	搜索框	c=1 d=0.680451 t=2230
suo 	锁	c=2 d=1.89904 t=2230
suo ping 	锁屏	c=1 d=0.965605 t=2230
suo xiao 	缩小	c=1 d=0.865022 t=2230
suo you 	所有	c=2 d=1.62594 t=2230
ta 	他	c=8 d=4.18682 t=2230
ta 	它	c=6 d=3.18545 t=2230
ta men 	他们	c=1 d=0.763379 t=2230
ta shi 	他是	c=2 d=1.57467 t=2230
ta zai 	它在	c=1 d=0.869358 t=2230
tai chou le 	太丑了	c=1 d=0.951229 t=2230
tai hao le 	太好了	c=1 d=0.995012 t=2230
tan chu 	弹出	c=2 d=1.69197 t=2230
tan chuang 	弹窗	c=0 d=0.0891366 t=2230
tan chuang guan bi 	弹窗关闭	c=1 d=0.895834 t=2230
ti 	体	c=1 d=0.904837 t=2230
ti 	题	c=1 d=0.831104 t=2230
ti dai 	替代	c=1 d=0.729789 t=2230
tiao 	条	c=2 d=1.78416 t=2230
tiao gao 	调高	c=1 d=0.918512 t=2230
tiao jie 	调节	c=3 d=2.84177 t=2230
tiao shi 	调试	c=1 d=0.794534 t=2230
ting bu dong 	听不懂	c=1 d=0.782705 t=2230
tong shi 	同时	c=2 d=1.79659 t=2230
tou 	偷	c=1 d=0.895834 t=2230
tou ming 	透明	c=1 d=0.843665 t=2230
